"Table 1.12 Factors affecting occupational utilization, projected 2021-31",,,,
2020 National Employment Matrix occupation title,2021 National Empoyment Matrix occupation code,2021 National Employment Matrix industry title,2021 National Empoyment Matrix industry code,Factors affecting occupational utilization
"Meter readers, utilities",43-5041,Natural gas distribution,221200,Capital/labor substitution - share decreases as smart meters that automatically send energy usage data increasingly replace manual meter readings.
"Postal service mail sorters, processors, and processing machine operators",43-5053,Postal service,491000,Capital/labor substitution - share decreases as continued gains are realized from improved sorting and tracking equipment and processes.
"Shipping, receiving, and inventory clerks",43-5071,Total employment,TE1000,"Productivity change, demand change - share decreases as continued adoption of tracking technologies, such as sensors, bar codes, and RFID, increases the ability of workers to process shipped and received packages. The share decreases are partially offset by the increased demand for shipping and receiving services due to the increased online sales."
"Shipping, receiving, and inventory clerks",43-5071,Animal food manufacturing,311100,"Productivity change - share decreases as automated filling, bagging, packing, and palletizing equipment is used to track products."
"Shipping, receiving, and inventory clerks",43-5071,"Chemical manufacturing (3255,6)",3250A2,"Productivity change, demand change - share decreases as continued adoption of tracking technologies, such as sensors, bar codes, and RFID, increases the ability of workers to process shipped and received packages. The share decreases are partially offset by the increased demand for shipping and receiving services due to the increased online sales."
"Shipping, receiving, and inventory clerks",43-5071,Electronic shopping and mail-order houses,454100,"Productivity change, demand change - share decreases as continued adoption of tracking technologies, such as sensors, bar codes, and RFID, increases the ability of workers to process shipped and received packages. The share decreases are partially offset by the increased demand for shipping and receiving services due to the increased online sales."
"Shipping, receiving, and inventory clerks",43-5071,Warehousing and storage,493000,"Productivity change, demand change - share decreases as continued adoption of tracking technologies, such as sensors, bar codes, and RFID, increases the ability of workers to process shipped and received packages. The share decreases are partially offset by the increased demand for shipping and receiving services due to the increased online sales."
"Weighers, measurers, checkers, and samplers, recordkeeping",43-5111,Total employment,TE1000,Productivity change - share decreases as businesses increase use of process automation systems and integrate more activities into these systems.
Executive secretaries and executive administrative assistants,43-6011,Total employment,TE1000,Occupational substitution - share decreases as improved technology allows workers to perform with fewer secretaries.
Executive secretaries and executive administrative assistants,43-6011,Direct health and medical insurance carriers,524114,"Productivity change - share decreases as firms increase the use of computer software, enhanced with AI technology, to automate routine back office functions, such as documents preparation."
Executive secretaries and executive administrative assistants,43-6011,"Direct insurance (except life, health, and medical) carriers",524120,"Productivity change - share decreases as companies use computer software, enhanced with AI technology, to automate routine clerical and office tasks."
Executive secretaries and executive administrative assistants,43-6011,Office administrative services,561100,Occupational substitution - share decreases as improved technology allows workers to perform with fewer secretaries.
Legal secretaries and administrative assistants,43-6012,Total employment,TE1000,Occupational substitution - share decreases as improved technology allows lawyers and paralegals to perform with fewer secretaries.
Medical secretaries and administrative assistants,43-6013,Veterinary services,541940,Productivity change - share decreases as improved technology allows workers to perform with fewer secretaries.
"Secretaries and administrative assistants, except legal, medical, and executive",43-6014,Total employment,TE1000,Occupational substitution - share decreases as improved technology allows work to be performed with fewer secretaries.
"Secretaries and administrative assistants, except legal, medical, and executive",43-6014,Land subdivision,237200,"Productivity change - share decreases as increased use of technology, such as electronic filing systems and data sharing, require a reduced need for secretaries to perform these duties."
"Secretaries and administrative assistants, except legal, medical, and executive",43-6014,Direct health and medical insurance carriers,524114,"Productivity change - share decreases as firms increase the use of computer software, enhanced with AI technology, to automate some office clerical functions, such as documents preparation."
"Secretaries and administrative assistants, except legal, medical, and executive",43-6014,"Direct insurance (except life, health, and medical) carriers",524120,"Productivity change - share decreases as companies use computer software, enhanced with AI technology, to automate routine office tasks."
"Secretaries and administrative assistants, except legal, medical, and executive",43-6014,Insurance agencies and brokerages,524210,Occupational substitution - share decreases as improved technology allows work to be performed with fewer secretaries.
"Secretaries and administrative assistants, except legal, medical, and executive",43-6014,Other insurance related activities,524290,"Productivity change - share decreases as companies use computer software, enhanced with AI technology, robotic process automation, optical character recognition, and natural language processing, to automate routine office tasks."
"Secretaries and administrative assistants, except legal, medical, and executive",43-6014,Legal services,541100,Productivity change - share decreases as improved technology allows work to be performed with fewer secretaries.
"Secretaries and administrative assistants, except legal, medical, and executive",43-6014,Office administrative services,561100,Occupational substitution - share decreases as improved technology allows work to be performed with fewer secretaries.
"Secretaries and administrative assistants, except legal, medical, and executive",43-6014,Exterminating and pest control services,561710,Occupational substitution - share decreases as improved technology allows work to be performed with fewer secretaries.
"Secretaries and administrative assistants, except legal, medical, and executive",43-6014,Landscaping services,561730,Occupational substitution - share decreases as improved technology allows work to be performed with fewer secretaries.
"Secretaries and administrative assistants, except legal, medical, and executive",43-6014,"Colleges, universities, and professional schools; private",611305,Productivity change - share decreases as improved technology allows work to be performed with fewer secretaries.
"Secretaries and administrative assistants, except legal, medical, and executive",43-6014,Offices of dentists,621200,Occupational substitution - share decreases as improved technology allows work to be performed with fewer secretaries.
"Secretaries and administrative assistants, except legal, medical, and executive",43-6014,Residential mental health and substance abuse facilities,623220,Occupational substitution - share decreases as improved technology allows work to be performed with fewer secretaries.
"Secretaries and administrative assistants, except legal, medical, and executive",43-6014,Other residential care facilities,623900,Occupational substitution - share decreases as improved technology allows work to be performed with fewer secretaries.
Data entry keyers,43-9021,Total employment,TE1000,"Demand change, capital/labor substitution - share decreases as direct data entry in mobile devices and handwriting recognition software become more common, replacing data entry keyers."
Data entry keyers,43-9021,Direct health and medical insurance carriers,524114,"Productivity change - share decreases as firms increase the use of computer software, enhanced with AI technology, to automate data entry, requiring fewer data entry workers."
Word processors and typists,43-9022,Total employment,TE1000,Occupational substitution - share decreases as other workers assume the functions of typists due to the ubiquity of typing skills.
Desktop publishers,43-9031,Total employment,TE1000,"Demand change - share decreases as an increased focus on digital publishing, a format that includes dynamic design elements like animation, will lead to less demand for desktop publishers to design printed materials. In addition, publishing software improvements make it easier for other workers, such as editors and graphic designers, to perform the duties of desktop publishers."
Desktop publishers,43-9031,Printing and related support activities,323000,"Demand change - share decreases as an increased focus on digital publishing, a format that includes dynamic design elements like animation, will lead to less demand for desktop publishers to design printed materials. In addition, publishing software improvements make it easier for other workers, such as editors and graphic designers, to perform the duties of desktop publishers."
Desktop publishers,43-9031,Newspaper publishers,511110,"Demand change - share decreases as an increased focus on digital publishing, a format that includes dynamic design elements like animation, will lead to less demand for desktop publishers to design printed materials. In addition, publishing software improvements make it easier for other workers, such as editors and graphic designers, to perform the duties of desktop publishers."
Insurance claims and policy processing clerks,43-9041,Direct health and medical insurance carriers,524114,"Productivity change - share decreases as firms increase the use of computer software, enhanced with AI technology, to automate claims and policy processing."
Insurance claims and policy processing clerks,43-9041,"Direct insurance (except life, health, and medical) carriers",524120,"Productivity change - share decreases as firms increase the use of computer software, enhanced with AI technology, to automate claims and policy processing."
Insurance claims and policy processing clerks,43-9041,Insurance agencies and brokerages,524210,"Productivity change - share decreases as firms increase the use of computer software, enhanced with AI technology, to automate claims and policy processing."
Insurance claims and policy processing clerks,43-9041,Other insurance related activities,524290,"Productivity change - share decreases as firms increase the use of computer software, enhanced with AI technology, to automate claims and policy processing."
"Mail clerks and mail machine operators, except postal service",43-9051,Total employment,TE1000,Capital/labor substitution - share decreases as companies use machines with programmable software that continues to supplant some office mailing tasks. Share will decrease as correspondence and communication is increasingly done online and organizations utilize administrative staff to handle incoming and outgoing mail.
"Office clerks, general",43-9061,Total employment,TE1000,"Productivity change - share decreases as increased use of technology, such as electronic filing systems and file sharing software, require a lesser need for individuals to perform these duties."
"Office clerks, general",43-9061,Motor vehicle and motor vehicle parts and supplies merchant wholesalers,423100,"Productivity change - share decreases as increased use of technology, such as electronic filing systems and file sharing software, require a lesser need for individuals to perform these duties."
"Office clerks, general",43-9061,"Apparel, piece goods, and notions merchant wholesalers",424300,"Productivity change - share decreases as increased use of technology, such as electronic filing systems and file sharing software, require a lesser need for individuals to perform these duties."
"Office clerks, general",43-9061,Nonscheduled air transportation,481200,"Productivity change - share decreases as increased use of technology, such as electronic filing systems and file sharing software, require a lesser need for individuals to perform these duties."
"Office clerks, general",43-9061,Direct health and medical insurance carriers,524114,"Productivity change - share decreases as increased use of technology, such as electronic filing systems and file sharing software, require a lesser need for individuals to perform these duties."
"Office clerks, general",43-9061,"Direct insurance (except life, health, and medical) carriers",524120,"Productivity change - share decreases as increased use of technology, such as electronic filing systems and file sharing software, require a lesser need for individuals to perform these duties."
"Office clerks, general",43-9061,Other insurance related activities,524290,"Productivity change - share decreases as increased use of technology, such as electronic filing systems and file sharing software, require a lesser need for individuals to perform these duties."
"Office clerks, general",43-9061,Office administrative services,561100,"Productivity change - share decreases as increased use of technology, such as electronic filing systems and file sharing software, require a lesser need for individuals to perform these duties."
"Office clerks, general",43-9061,Exterminating and pest control services,561710,"Productivity change - share decreases as increased use of technology, such as electronic filing systems and file sharing software, require a lesser need for individuals to perform these duties."
"Office clerks, general",43-9061,Landscaping services,561730,"Productivity change - share decreases as increased use of technology, such as electronic filing systems and file sharing software, require a lesser need for individuals to perform these duties."
"Office clerks, general",43-9061,"Colleges, universities, and professional schools; private",611305,"Productivity change - share decreases as increased use of technology, such as electronic filing systems and file sharing software, require a lesser need for individuals to perform these duties."
"Office clerks, general",43-9061,Offices of dentists,621200,"Productivity change - share decreases as increased use of technology, such as electronic filing systems and file sharing software, require a lesser need for individuals to perform these duties."
"Office clerks, general",43-9061,Ambulance services,621910,"Productivity change - share decreases as increased use of technology, such as electronic filing systems and file sharing software, require a lesser need for individuals to perform these duties."
"Office clerks, general",43-9061,All other ambulatory healthcare services,621990,"Productivity change - share decreases as increased use of technology, such as electronic filing systems and file sharing software, require a lesser need for individuals to perform these duties."
"Office clerks, general",43-9061,General medical and surgical hospitals; local,622103,"Occupational substitution - share decreases as increased use of technology, such as electronic filing systems and file sharing software allows other workers in offices to perform the duties of general office clerks."
"Office clerks, general",43-9061,Residential intellectual and developmental disability facilities,623210,"Productivity change - share decreases as increased use of technology, such as electronic filing systems and file sharing software, require a lesser need for individuals to perform these duties."
"Office clerks, general",43-9061,Residential mental health and substance abuse facilities,623220,"Productivity change - share decreases as increased use of technology, such as electronic filing systems and file sharing software, require a lesser need for individuals to perform these duties."
"Office clerks, general",43-9061,Other residential care facilities,623900,"Productivity change - share decreases as increased use of technology, such as electronic filing systems and file sharing software, require a lesser need for individuals to perform these duties."
"Office machine operators, except computer",43-9071,Total employment,TE1000,Demand change - share decreases as offices become paperless and continue to use technology such as electronic filing systems.
"Office and administrative support workers, all other",43-9199,Total employment,TE1000,Productivity change - share decreases as increased use of technology require fewer workers to perform these duties such as stuffing envelopes.
Animal breeders,45-2021,Animal production and aquaculture,112000,Demand change - share increases as livestock farming operations increasingly emphasize new and improved breeding techniques.
"Graders and sorters, agricultural products",45-2041,Total employment,TE1000,Capital/labor substitution - share decreases as enhanced technology will automatically sort and grade a growing number of agricultural products.
Agricultural equipment operators,45-2091,Crop production,111000,Capital/labor substitution - share increases as the expansion of Internet of Things (IoT) and IoT connected devices utilized in agricultural operations increase the demand for agricultural equipment operators to operate and monitor these devices and to make informed decisions using the data collected.
Agricultural equipment operators,45-2091,Animal production and aquaculture,112000,"Demand change - share increases as more sophisticated agricultural equipment is increasingly used for farming and related operations, resulting in a greater need for the workers who operate this equipment and less of a need for workers to do tasks by hand."
Agricultural equipment operators,45-2091,Support activities for agriculture and forestry,115000,"Demand change - share increases as more sophisticated agricultural equipment is increasingly used for farming and related operations, resulting in a greater need for the workers who operate this equipment and less of a need for workers to do tasks by hand."
Agricultural equipment operators,45-2091,Farm product raw material merchant wholesalers,424500,"Demand change - share increases as more sophisticated agricultural equipment is increasingly used for farming and related operations, resulting in a greater need for the workers who operate this equipment and less of a need for workers to do tasks by hand."
Agricultural equipment operators,45-2091,"Merchant wholesalers, nondurable goods (4241,7,9)",4240A3,"Demand change - share increases as more sophisticated agricultural equipment is increasingly used for farming and related operations, resulting in a greater need for the workers who operate this equipment and less of a need for workers to do tasks by hand."
"Farmworkers and laborers, crop, nursery, and greenhouse",45-2092,Total employment,TE1000,"Capital/labor substitution - share decreases as the mechanization of agricultural operations is expected to reduce demand for these workers, with a corresponding increase in demand for agricultural equipment operators."
"Farmworkers and laborers, crop, nursery, and greenhouse",45-2092,Crop production,111000,"Capital/labor substitution - share decreases as the expansion of Internet of Things (IoT) and IoT connected devices utilized in agricultural operations reduce the demand for manual work previously completed by farmworkers and laborers, crop, nursery, and greenhouse employees."
"Farmworkers, farm, ranch, and aquacultural animals",45-2093,Total employment,TE1000,"Capital/labor substitution - share decreases as the mechanization of agricultural operations is expected to reduce demand for these workers, with a corresponding increase in demand for agricultural equipment operators."
"Farmworkers, farm, ranch, and aquacultural animals",45-2093,Crop production,111000,"Capital/labor substitution - share decreases as the expansion of Internet of Things (IoT) and IoT connected devices utilized in agricultural operations reduce the demand for manual work previously completed by farmworkers, farm, ranch, and aquacultural animals employees."
Forest and conservation workers,45-4011,Total employment,TE1000,Productivity change - share decreases as the automation of some manual labor tasks in forest and conservation work reduces the needed number of these workers.
Fallers,45-4021,Total employment,TE1000,Occupational substitution - share decreases as logging equipment operators will continue to take over some of the tasks performed by fallers due increased mechanization.
Logging equipment operators,45-4022,Total employment,TE1000,"Occupational substitution - share increases as logging equipment operators will continue to take over some of the tasks performed by fallers and other logging workers who perform tasks by hand, given increased mechanization in the industry."
First-line supervisors of construction trades and extraction workers,47-1011,"Highway, street, and bridge construction",237300,Demand change - share increases as more first-line supervisors are needed to manage expanding construction activities.
First-line supervisors of construction trades and extraction workers,47-1011,Electrical contractors and other wiring installation contractors,238210,"Demand change - share increases as growing demand for wind and solar installations, wiring for device connectivity, and electric vehicle (EV) charging will increase the need for electricians, construction workers, and their supervisors in turn."
First-line supervisors of construction trades and extraction workers,47-1011,Other specialty trade contractors,238900,Demand change - share increases as more first-line supervisors are needed to manage expanding construction activities.
Boilermakers,47-2011,Nonresidential building construction,236200,Demand change - share decreases as coal plants are closed or converted to natural gas.
Boilermakers,47-2011,Power and communication line and related structures construction,237130,Demand change - share decreases as coal plants are closed or converted to natural gas.
Boilermakers,47-2011,Other heavy and civil engineering construction,237900,Demand change - share decreases as coal plants are closed or converted to natural gas.
Boilermakers,47-2011,"Plumbing, heating, and air-conditioning contractors",238220,Demand change - share decreases as coal plants are closed or converted to natural gas.
Boilermakers,47-2011,Other building equipment contractors,238290,Demand change - share decreases as coal plants are closed or converted to natural gas.
Boilermakers,47-2011,Commercial and industrial machinery and equipment (except automotive and electronic) repair and maintenance,811300,Demand change - share decreases as coal plants are closed or converted to natural gas.
Brickmasons and blockmasons,47-2021,Nonresidential building construction,236200,Sourcing change - share decreases as the increasing use of offsite manufactured prefabricated panels instead of onsite smaller bricks reduces the number of these workers needed onsite to install.
Brickmasons and blockmasons,47-2021,Masonry contractors,238140,Sourcing change - share decreases as the increasing use of offsite manufactured prefabricated panels instead of onsite smaller bricks reduces the number of these workers needed onsite to install.
Brickmasons and blockmasons,47-2021,Nonmetallic mineral product manufacturing,327000,Sourcing change - share increases as more brick veneer work is prepared offsite and panels are shipped from factories.
Stonemasons,47-2022,Total employment,TE1000,Occupational substitution - share decreases as brickmasons and blockmasons increasingly install more stone products instead of stonemasons.
Carpet installers,47-2041,Total employment,TE1000,Demand change - share decreases as other floor coverings replace carpet.
"Floor layers, except carpet, wood, and hard tiles",47-2042,Total employment,TE1000,Demand change - share increases as more consumers choose resilient floor coverings.
Tile and stone setters,47-2044,Total employment,TE1000,Demand change - share increases as tile and natural stone continue to gain share in overall flooring market sales.
Cement masons and concrete finishers,47-2051,Total employment,TE1000,Sourcing change - share decreases as more precast and prefabricated concrete products are installed and fewer workers are needed onsite to build forms and pour concrete.
Cement masons and concrete finishers,47-2051,Nonresidential building construction,236200,Sourcing change - share decreases as more precast and prefabricated concrete products are installed and fewer workers are needed onsite to build forms and pour concrete.
Cement masons and concrete finishers,47-2051,Poured concrete foundation and structure contractors,238110,Sourcing change - share decreases as more precast and prefabricated concrete products are installed.
Cement masons and concrete finishers,47-2051,Other specialty trade contractors,238900,"Sourcing change, demand change - share decreases as more precast and prefabricated concrete products are installed which is partially offset by the increased demand for polished concrete."
Cement masons and concrete finishers,47-2051,Nonmetallic mineral product manufacturing,327000,Sourcing change - share increases as more precast and prefabricated concrete products are built off-site to be installed on-site by other workers.
Construction laborers,47-2061,Residential building construction,236100,Demand change - share increases as construction laborers perform more tasks on construction sites related to the installation of prefabricated components.
Construction laborers,47-2061,Nonresidential building construction,236200,Demand change - share increases as construction laborers perform more tasks on construction sites related to the installation of prefabricated components.
Construction laborers,47-2061,"Highway, street, and bridge construction",237300,Demand change - share increases as more laborers will be needed for road and bridge repair work.
Construction laborers,47-2061,Masonry contractors,238140,Demand change - share increases as construction laborers perform more tasks on construction sites related to the installation of prefabricated components.
Construction laborers,47-2061,Electrical contractors and other wiring installation contractors,238210,Demand change - share increases as an expanding electric vehicle (EV) charging network will increase the need for construction laborers for site preparation work prior to the installation of charging equipment.
Construction laborers,47-2061,Other specialty trade contractors,238900,Demand change - share increases as construction laborers perform more tasks on construction sites related to the installation of prefabricated components and are needed to help with infrastructure work.
"Paving, surfacing, and tamping equipment operators",47-2071,"Highway, street, and bridge construction",237300,Demand change - share increases as infrastructure spending increases to repair deficient roads.
"Paving, surfacing, and tamping equipment operators",47-2071,Other specialty trade contractors,238900,Demand change - share increases as infrastructure spending increases to repair deficient roads.
Pile driver operators,47-2072,"Highway, street, and bridge construction",237300,Demand change - share increases as spending increases to repair infrastructure.
Pile driver operators,47-2072,Other specialty trade contractors,238900,Demand change - share increases as spending increases to improve infrastructure.
Operating engineers and other construction equipment operators,47-2073,"Highway, street, and bridge construction",237300,Demand change - share increases as more money is allocated to road and bridge repair.
Operating engineers and other construction equipment operators,47-2073,Other specialty trade contractors,238900,Demand change - share increases as infrastructure spending related to roads and bridges increases leading to the need for more equipment operators.
Tapers,47-2082,Residential building construction,236100,Productivity change - share decreases as continuous flow equipment speeds up the taping and finishing process.
Tapers,47-2082,Nonresidential building construction,236200,Productivity change - share decreases as continuous flow equipment speeds up the taping and finishing process.
Tapers,47-2082,Drywall and insulation contractors,238310,Productivity change - share decreases as continuous flow equipment speeds up the taping and finishing process.
Tapers,47-2082,Painting and wall covering contractors,238320,Productivity change - share decreases as continuous flow equipment speeds up the taping and finishing process.
Electricians,47-2111,Residential building construction,236100,Demand change - share increases as demand for wind and solar installations will increase the need for electricians to connect the electrical generation sources to the electrical grid.
Electricians,47-2111,Nonresidential building construction,236200,Demand change - share increases as demand for wind and solar installations will increase the need for electricians to connect the electrical generation sources to the electrical grid.
Electricians,47-2111,Power and communication line and related structures construction,237130,Demand change - share increases as demand for wind and solar installations will increase the need for electricians to connect the electrical generation sources to the electrical grid.
Electricians,47-2111,Electrical contractors and other wiring installation contractors,238210,"Demand change - share increases as growing demand for wind and solar installations, wiring for device connectivity, and electric vehicle (EV) charging will increase the need for electricians to connect the electrical generation sources to the electrical grid."
Electricians,47-2111,"Plumbing, heating, and air-conditioning contractors",238220,Demand change - share increases as demand for wind and solar installations will increase the need for electricians to connect the electrical generation sources to the electrical grid.
Electricians,47-2111,Other specialty trade contractors,238900,Demand change - share increases as demand for wind and solar installations will increase the need for electricians to connect the electrical generation sources to the electrical grid.
Reinforcing iron and rebar workers,47-2171,"Highway, street, and bridge construction",237300,Capital/labor substitution - share decreases as new equipment is used to place and tie rebar replacing workers.
Sheet metal workers,47-2211,"Plumbing, heating, and air-conditioning contractors",238220,Sourcing change - share decreases as the use of prefabricated duct systems will reduce the need for sheet metal workers on residential construction sites.
Structural iron and steel workers,47-2221,"Highway, street, and bridge construction",237300,Demand change - share increases as infrastructure spending increases to repair deficient bridges.
Structural iron and steel workers,47-2221,Other specialty trade contractors,238900,Demand change - share increases as infrastructure spending increases to repair deficient bridges.
Solar photovoltaic installers,47-2231,Solar electric power generation,221114,Demand change - share increases as there are a growing number of utility sized solar operations which will need some panel replacement as they age or suffer damage due to weather. PV Installers will be needed to replace the defective modules.
Solar photovoltaic installers,47-2231,Electrical contractors and other wiring installation contractors,238210,Demand change - share increases as the large number of private and government-led initiatives create demand for new solar panels installations.
Solar photovoltaic installers,47-2231,"Plumbing, heating, and air-conditioning contractors",238220,Demand change - share increases as the large number of private and government-led initiatives create demand for new solar panels installations.
"Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",47-3011,Masonry contractors,238140,Sourcing change - share decreases as the increasing use of offsite manufactured prefabricated panels instead of onsite smaller bricks reduces the number of these helpers needed onsite to install.
"Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",47-3011,Nonmetallic mineral product manufacturing,327000,Sourcing change - share increases as more brick veneer work is prepared offsite and panels are shipped from factories.
Helpers--carpenters,47-3012,Residential building construction,236100,Demand change - share decreases as the use of prefabricated materials replaces onsite carpenter and carpenters helpers assembly.
Helpers--carpenters,47-3012,Nonresidential building construction,236200,Demand change - share decreases as the use of prefabricated materials replaces onsite carpenter and carpenters helpers assembly.
Construction and building inspectors,47-4011,"State government, excluding education and hospitals",999200,Productivity change - share decreases as more localities use remote inspection technology.
Construction and building inspectors,47-4011,"Local government, excluding education and hospitals",999300,Productivity change - share decreases as more localities use remote inspection technology.
Hazardous materials removal workers,47-4041,Waste treatment and disposal,562200,Demand change - share decreases as less money is budgeted for hazardous material remediation activities as compared to recycling collection.
Hazardous materials removal workers,47-4041,Remediation and other waste management services,562900,Demand change - share decreases as less money is budgeted for hazardous material remediation activities as compared to recycling collection.
Highway maintenance workers,47-4051,"Highway, street, and bridge construction",237300,Demand change - share increases as infrastructure spending increases to repair deficient roads.
Highway maintenance workers,47-4051,Other specialty trade contractors,238900,Demand change - share increases as infrastructure spending increases to repair deficient roads.
Highway maintenance workers,47-4051,"State government, excluding education and hospitals",999200,Demand change - share increases as infrastructure spending increases to repair deficient roads.
Highway maintenance workers,47-4051,"Local government, excluding education and hospitals",999300,Demand change - share increases as infrastructure spending increases to repair deficient roads.
"Derrick operators, oil and gas",47-5011,Support activities for mining,213000,Productivity change - share decreases as advancements in automated well drilling boosts labor productivity and reduces the number of derrick operators required in oil and gas drilling.
"Rotary drill operators, oil and gas",47-5012,Support activities for mining,213000,Productivity change - share decreases as advancements in automated well drilling boosts labor productivity and reduces the number of rotatory drill operators required in oil and gas drilling.
"Service unit operators, oil and gas",47-5013,Support activities for mining,213000,"Productivity change - share decreases as technological advancements in robotics, automation, and digital solutions boost labor productivity in oil and gas operations."
"Excavating and loading machine and dragline operators, surface mining",47-5022,Coal mining,212100,Productivity change - share decreases as the industry adopts semi-autonomous construction equipment.
"Excavating and loading machine and dragline operators, surface mining",47-5022,Nonmetallic mineral mining and quarrying,212300,Productivity change - share decreases as the industry adopts semi-autonomous construction equipment.
"Earth drillers, except oil and gas",47-5023,Metal ore mining,212200,Productivity change - share decreases as automation of some drilling activities increases the productivity of earth drillers in metal mining operations.
"Explosives workers, ordnance handling experts, and blasters",47-5032,Metal ore mining,212200,Productivity change - share decreases as automation of some blasting activities increases the productivity of explosive workers in metal mining operations.
"Roof bolters, mining",47-5043,Coal mining,212100,Demand change - share decreases as the industry increasingly prefers surface mining over underground mining.
"Loading and moving machine operators, underground mining",47-5044,Coal mining,212100,Capital/labor substitution - share decreases as the industry adopts autonomous vehicles.
"Underground mining machine operators, all other",47-5049,Coal mining,212100,Demand change - share decreases as the industry increasingly prefers surface mining over underground mining.
"Extraction workers, all other",47-5099,Coal mining,212100,Demand change - share decreases as the industry increasingly prefers surface mining over underground mining.
"First-line supervisors of mechanics, installers, and repairers",49-1011,Other automotive repair and maintenance,811190,"Demand change - share decreases as newer vehicles require less frequent oil and lubrication servicing and are built more reliably, reducing demand for other vehicle maintenance and repair services. An expected greater share of hybrid vehicles and electric vehicles (EVs) on the road is also expected to reduce demand for some repair and maintenance services."
"Computer, automated teller, and office machine repairers",49-2011,Professional and commercial equipment and supplies merchant wholesalers,423400,"Demand change - share decreases as consumers use less cash for daily transactions, which leads to need for fewer ATM machines, and fewer ATM repairers."
"Computer, automated teller, and office machine repairers",49-2011,Electronic and precision equipment repair and maintenance,811200,"Demand change - share decreases as computer manufacturer proprietary repair policies drive independent repair shops to close, and thus increase the cost of repairing relative to replacing computers."
"Radio, cellular, and tower equipment installers and repairers",49-2021,Power and communication line and related structures construction,237130,"Demand change - share increases as innovative deployment of 5G smart technology requires extensive upgrades to existing and new telecommunications infrastructure, such as installing small cells, and replacing or repairing towers, antennas or auxiliary equipment."
"Radio, cellular, and tower equipment installers and repairers",49-2021,Electrical contractors and other wiring installation contractors,238210,"Demand change - share increases as innovative deployment of 5G smart technology requires massive installations of fiber optic cable, small cells, and new routers in businesses and homes."
"Radio, cellular, and tower equipment installers and repairers",49-2021,Telecommunications,517000,"Demand change - share increases as innovative deployment of 5G smart technology requires extensive upgrades to existing and new telecommunications infrastructure, such as installing small cells, and replacing or repairing towers, antennas or auxiliary equipment."
"Telecommunications equipment installers and repairers, except line installers",49-2022,Power and communication line and related structures construction,237130,"Demand change - share increases as the deployment of 5G technology, fiber optic cables, and small cells requires massive installations and maintenance of various telecommunication equipment; Infrastructure Bill spending supports robust demand and employment increases."
"Telecommunications equipment installers and repairers, except line installers",49-2022,Telecommunications,517000,"Demand change - share increases as the deployment of 5G smart technology requires massive installations of fiber optic cable, small cells, and new routers in businesses and homes; Infrastructure Bill spending supports robust demand and employment increases."
"Electrical and electronics installers and repairers, transportation equipment",49-2093,"Local government, excluding education and hospitals",999300,Demand change - share increases as local governments expand rail service.
"Electronic equipment installers and repairers, motor vehicles",49-2096,"Merchant wholesalers, durable goods (4232,3,5,6,7,9)",4230A1,Demand change - share decreases as automotive electronics needs are increasingly met by smartphones and factory-installed options.
"Electronic equipment installers and repairers, motor vehicles",49-2096,"Automotive parts, accessories, and tire stores",441300,Demand change - share decreases as automotive electronics needs are increasingly met by smartphones and factory-installed options.
"Electronic equipment installers and repairers, motor vehicles",49-2096,Electronics and appliance stores,443000,Demand change - share decreases as automotive electronics needs are increasingly met by smartphones and factory-installed options.
"Electronic equipment installers and repairers, motor vehicles",49-2096,Automotive mechanical and electrical repair and maintenance,811110,"Demand change - share increases as more technology is incorporated into new vehicles, which is expected to lead to more demand for vehicle electronic equipment repair and maintenance."
Automotive body and related repairers,49-3021,Automobile dealers,441100,Sourcing change - share decreases as dealerships have difficulty competing with independent/chain repair shops and their lower costs.
Automotive service technicians and mechanics,49-3023,Total employment,TE1000,Demand change - share decreases as improvements in vehicle reliability and durability reduce demand for automotive repair and maintenance services as the lifespan of parts and systems continues to increase. An expected greater share of hybrid vehicles and electric vehicles (EVs) on the road is also expected to reduce demand for some repair and maintenance services.
Automotive service technicians and mechanics,49-3023,Motor vehicle and motor vehicle parts and supplies merchant wholesalers,423100,"Demand change - share increases as the increasing complexity of vehicle technology, engines and other parts, requires the knowledge of automotive service technicians and mechanics to provide assistance and services to wholesale customers."
Automotive service technicians and mechanics,49-3023,Automobile dealers,441100,Demand change - share increases as automobile dealers continue to offer more vehicle repair and maintenance services and drivers increasingly prefer to take their vehicle to a dealer for servicing.
Automotive service technicians and mechanics,49-3023,Other automotive repair and maintenance,811190,Demand change - share decreases as improvements in vehicle reliability and durability reduce demand for automotive repair and maintenance services as the lifespan of parts and systems continues to increase. An expected greater share of hybrid vehicles and electric vehicles (EVs) on the road is also expected to reduce demand for some repair and maintenance services.
Automotive service technicians and mechanics,49-3023,Postal service,491000,Demand change - share decreases as a new fleet of mail delivery trucks will not require the same amount of maintenance as the existing fleet which was manufactured years ago.
Bus and truck mechanics and diesel engine specialists,49-3031,Total employment,TE1000,"Demand change - share decreases as adoption of electric vehicles (EVs) increases, which require less maintenance than internal combustion engine (ICE) vehicles."
