"Table 1.7 Occupational projections, 2021-31, and worker characteristics, 2021 (Numbers in thousands)",,,,,,,,,,,,
2021 National Employment Matrix title,2021 National Employment Matrix code,Occupation type,"Employment, 2021","Employment, 2031","Employment change, 2021-31","Percent employment change, 2021-31","Percent self employed, 2021","Occupational openings, 2021-31 annual average","Median annual wage, 2021(1)",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation
Physician assistants,29-1071,Line item,139.1,177.5,38.4,27.6,1.9,12.7,"$121,530",Master's degree,None,None
Podiatrists,29-1081,Line item,11.0,11.2,0.2,2.0,16.0,0.3,"$145,840",Doctoral or professional degree,None,Internship/residency
Therapists,29-1120,Summary,764.5,884.2,119.6,15.6,7.5,56.1,"$78,670",—,—,—
Occupational therapists,29-1122,Line item,133.9,152.5,18.6,13.9,1.6,10.1,"$85,570",Master's degree,None,None
Physical therapists,29-1123,Line item,238.8,279.2,40.4,16.9,2.6,15.4,"$95,620",Doctoral or professional degree,None,None
Radiation therapists,29-1124,Line item,16.4,17.5,1.0,6.3,—,0.8,"$82,790",Associate's degree,None,None
Recreational therapists,29-1125,Line item,17.6,18.2,0.6,3.6,—,1.5,"$47,940",Bachelor's degree,None,None
Respiratory therapists,29-1126,Line item,135.8,154.2,18.4,13.6,—,9.4,"$61,830",Associate's degree,None,None
Speech-language pathologists,29-1127,Line item,159.8,193.9,34.0,21.3,5.5,14.0,"$79,060",Master's degree,None,Internship/residency
Exercise physiologists,29-1128,Line item,21.4,23.4,1.9,9.1,65.3,1.7,"$47,940",Bachelor's degree,None,None
"Therapists, all other",29-1129,Line item,40.8,45.4,4.6,11.2,63.5,3.3,"$59,500",Bachelor's degree,None,None
Veterinarians,29-1131,Line item,86.3,103.1,16.8,19.4,7.9,4.8,"$100,370",Doctoral or professional degree,None,None
Registered nurses,29-1141,Line item,"3,130.6","3,326.0",195.4,6.2,0.5,203.2,"$77,600",Bachelor's degree,None,None
Nurse anesthetists,29-1151,Line item,45.2,50.5,5.3,11.8,0.5,2.9,"$195,610",Master's degree,None,None
Nurse midwives,29-1161,Line item,8.1,8.7,0.6,7.5,2.4,0.5,"$112,830",Master's degree,None,None
Nurse practitioners,29-1171,Line item,246.7,359.4,112.7,45.7,2.4,26.8,"$120,680",Master's degree,None,None
Audiologists,29-1181,Line item,14.6,16.1,1.5,10.4,6.2,0.8,"$78,950",Doctoral or professional degree,None,None
Physicians,29-1210,Summary,701.3,720.7,19.4,2.8,6.2,22.1,">=$208,000",—,—,—
Anesthesiologists,29-1211,Line item,34.1,34.5,0.4,1.1,6.8,1.0,">=$208,000",Doctoral or professional degree,None,Internship/residency
Cardiologists,29-1212,Line item,20.3,20.9,0.6,2.8,7.0,0.6,">=$208,000",Doctoral or professional degree,None,Internship/residency
Dermatologists,29-1213,Line item,10.1,10.4,0.3,3.1,7.0,0.3,">=$208,000",Doctoral or professional degree,None,Internship/residency
Emergency medicine physicians,29-1214,Line item,39.5,40.8,1.3,3.3,6.8,1.3,">=$208,000",Doctoral or professional degree,None,Internship/residency
Family medicine physicians,29-1215,Line item,112.2,115.9,3.7,3.3,6.7,3.6,">=$208,000",Doctoral or professional degree,None,Internship/residency
General internal medicine physicians,29-1216,Line item,63.7,65.0,1.3,2.0,6.6,1.9,">=$208,000",Doctoral or professional degree,None,Internship/residency
Neurologists,29-1217,Line item,7.8,8.0,0.2,3.0,6.7,0.2,">=$208,000",Doctoral or professional degree,None,Internship/residency
Obstetricians and gynecologists,29-1218,Line item,23.6,24.0,0.4,1.7,6.8,0.7,">=$208,000",Doctoral or professional degree,None,Internship/residency
"Pediatricians, general",29-1221,Line item,36.8,37.2,0.4,1.1,6.8,1.1,"$170,480",Doctoral or professional degree,None,Internship/residency
"Physicians, pathologists",29-1222,Line item,12.1,12.6,0.5,4.5,6.5,0.4,">=$208,000",Doctoral or professional degree,None,Internship/residency
Psychiatrists,29-1223,Line item,27.9,30.3,2.4,8.7,5.5,1.1,">=$208,000",Doctoral or professional degree,None,Internship/residency
Radiologists,29-1224,Line item,32.4,33.6,1.2,3.7,6.8,1.1,">=$208,000",Doctoral or professional degree,None,Internship/residency
"Physicians, all other",29-1229,Line item,280.8,287.5,6.7,2.4,5.6,8.7,">=$208,000",Doctoral or professional degree,None,Internship/residency
Surgeons,29-1240,Summary,60.4,62.4,2.0,3.4,1.6,1.8,">=$208,000",—,—,—
"Ophthalmologists, except pediatric",29-1241,Line item,12.0,12.8,0.8,6.4,1.6,0.4,">=$208,000",Doctoral or professional degree,None,Internship/residency
"Orthopedic surgeons, except pediatric",29-1242,Line item,16.8,17.3,0.4,2.7,1.6,0.5,">=$208,000",Doctoral or professional degree,None,Internship/residency
Pediatric surgeons,29-1243,Line item,0.9,0.9,0.0,2.2,—,0.0,">=$208,000",Doctoral or professional degree,None,Internship/residency
"Surgeons, all other",29-1249,Line item,30.7,31.5,0.8,2.6,1.5,0.9,">=$208,000",Doctoral or professional degree,None,Internship/residency
Miscellaneous healthcare diagnosing or treating practitioners,29-1290,Summary,271.7,291.6,20.0,7.3,8.6,20.5,"$77,900",—,—,—
Acupuncturists,29-1291,Line item,23.7,24.6,0.9,3.9,67.7,1.7,"$60,570",Master's degree,None,None
Dental hygienists,29-1292,Line item,214.0,233.1,19.0,8.9,0.8,16.3,"$77,810",Associate's degree,None,None
"Healthcare diagnosing or treating practitioners, all other",29-1299,Line item,33.9,33.9,0.0,0.0,16.9,2.5,"$100,300",Master's degree,None,None
Health technologists and technicians,29-2000,Summary,"2,972.9","3,189.3",216.4,7.3,0.9,256.2,"$46,910",—,—,—
Clinical laboratory technologists and technicians,29-2010,Line item,329.2,351.0,21.8,6.6,0.1,25.6,"$57,800",Bachelor's degree,None,None
Diagnostic related technologists and technicians,29-2030,Summary,426.0,458.2,32.2,7.5,2.6,27.9,"$67,100",—,—,—
Cardiovascular technologists and technicians,29-2031,Line item,58.1,60.8,2.7,4.6,2.8,4.1,"$60,570",Associate's degree,None,None
Diagnostic medical sonographers,29-2032,Line item,82.3,94.4,12.1,14.7,2.9,6.0,"$77,740",Associate's degree,None,None
Nuclear medicine technologists,29-2033,Line item,18.9,19.2,0.3,1.7,8.0,1.0,"$78,760",Associate's degree,None,None
Radiologic technologists and technicians,29-2034,Line item,222.8,236.9,14.1,6.3,1.3,13.8,"$61,370",Associate's degree,None,None
Magnetic resonance imaging technologists,29-2035,Line item,41.2,44.1,3.0,7.2,5.9,2.8,"$77,360",Associate's degree,Less than 5 years,None
Medical dosimetrists,29-2036,Line item,2.7,2.8,0.1,2.6,7.6,0.1,"$127,270",Bachelor's degree,None,None
Emergency medical technicians and paramedics,29-2040,Summary,261.0,278.9,17.9,6.9,0.1,20.0,"$36,930",—,—,—
Emergency medical technicians,29-2042,Line item,163.4,174.8,11.4,7.0,—,13.9,"$35,470",Postsecondary nondegree award,None,None
Paramedics,29-2043,Line item,97.6,104.1,6.4,6.6,0.2,6.0,"$46,770",Postsecondary nondegree award,Less than 5 years,None
Health practitioner support technologists and technicians,29-2050,Summary,867.9,942.5,74.6,8.6,0.2,88.4,"$36,980",—,—,—
Dietetic technicians,29-2051,Line item,22.0,23.0,1.0,4.7,—,2.5,"$29,520",Associate's degree,None,None
Pharmacy technicians,29-2052,Line item,447.3,469.7,22.4,5.0,0.2,43.5,"$36,740",High school diploma or equivalent,None,Moderate-term on-the-job training
Psychiatric technicians,29-2053,Line item,98.0,108.6,10.6,10.9,—,9.9,"$36,570",Postsecondary nondegree award,Less than 5 years,Short-term on-the-job training
Surgical technologists,29-2055,Line item,110.7,117.2,6.5,5.9,0.2,8.3,"$48,530",Postsecondary nondegree award,None,None
Veterinary technologists and technicians,29-2056,Line item,122.8,146.9,24.1,19.6,0.4,15.5,"$36,850",Associate's degree,None,None
Ophthalmic medical technicians,29-2057,Line item,67.2,77.1,9.9,14.7,—,8.7,"$37,180",Postsecondary nondegree award,None,None
Licensed practical and licensed vocational nurses,29-2061,Line item,657.2,698.5,41.3,6.3,1.0,58.8,"$48,070",Postsecondary nondegree award,None,None
Medical records specialists,29-2072,Line item,186.4,198.7,12.3,6.6,0.8,14.9,"$46,660",Postsecondary nondegree award,None,None
"Opticians, dispensing",29-2081,Line item,74.8,77.5,2.8,3.7,0.6,6.7,"$37,570",High school diploma or equivalent,None,Long-term on-the-job training
Miscellaneous health technologists and technicians,29-2090,Summary,170.4,184.0,13.6,8.0,2.4,13.9,"$46,640",—,—,—
Orthotists and prosthetists,29-2091,Line item,11.1,13.0,1.9,16.8,2.4,1.0,"$75,440",Master's degree,None,Internship/residency
Hearing aid specialists,29-2092,Line item,11.3,13.1,1.8,15.7,2.6,1.0,"$59,500",High school diploma or equivalent,None,Moderate-term on-the-job training
"Health technologists and technicians, all other",29-2099,Line item,148.0,157.9,9.9,6.7,2.4,11.8,"$45,720",Postsecondary nondegree award,None,None
Other healthcare practitioners and technical occupations,29-9000,Summary,136.8,153.2,16.5,12.0,2.2,10.8,"$54,480",—,—,—
Health information technologists and medical registrars,29-9021,Line item,39.9,46.9,7.0,17.4,2.5,3.4,"$55,560",Associate's degree,None,None
Miscellaneous health practitioners and technical workers,29-9090,Summary,96.9,106.4,9.5,9.8,2.1,7.3,"$54,010",—,—,—
Athletic trainers,29-9091,Line item,29.4,34.5,5.1,17.5,1.9,2.5,"$48,420",Master's degree,None,None
Genetic counselors,29-9092,Line item,2.9,3.5,0.5,18.2,2.4,0.3,"$80,150",Master's degree,None,None
Surgical assistants,29-9093,Line item,18.0,19.2,1.2,6.4,2.7,1.3,"$48,320",Postsecondary nondegree award,None,None
"Healthcare practitioners and technical workers, all other",29-9099,Line item,46.6,49.2,2.7,5.7,1.9,3.3,"$58,750",Postsecondary nondegree award,None,None
Healthcare support occupations,31-0000,Summary,"7,026.0","8,279.7","1,253.8",17.8,2.9,"1,266.8","$29,880",—,—,—
"Home health and personal care aides; and nursing assistants, orderlies, and psychiatric aides",31-1100,Summary,"5,067.8","6,058.5",990.7,19.5,2.6,938.6,"$29,620",—,—,—
Home health and personal care aides,31-1120,Line item,"3,636.9","4,560.9",924.0,25.4,3.1,711.7,"$29,430",High school diploma or equivalent,None,Short-term on-the-job training
"Nursing assistants, orderlies, and psychiatric aides",31-1130,Summary,"1,430.9","1,497.6",66.7,4.7,1.4,226.9,"$30,290",—,—,—
Nursing assistants,31-1131,Line item,"1,343.7","1,406.4",62.7,4.7,1.4,212.7,"$30,310",Postsecondary nondegree award,None,None
Orderlies,31-1132,Line item,46.2,48.3,2.2,4.7,1.1,7.5,"$29,990",High school diploma or equivalent,None,Short-term on-the-job training
Psychiatric aides,31-1133,Line item,41.0,42.9,1.9,4.6,0.6,6.7,"$30,260",High school diploma or equivalent,None,Short-term on-the-job training
Occupational therapy and physical therapist assistants and aides,31-2000,Summary,187.7,233.1,45.4,24.2,0.1,34.8,"$57,980",—,—,—
Occupational therapy assistants and aides,31-2010,Summary,47.0,58.5,11.5,24.5,0.3,9.3,"$61,520",—,—,—
Occupational therapy assistants,31-2011,Line item,43.4,54.5,11.0,25.4,0.3,8.7,"$61,730",Associate's degree,None,None
Occupational therapy aides,31-2012,Line item,3.5,4.0,0.5,13.6,—,0.6,"$33,560",High school diploma or equivalent,None,Short-term on-the-job training
Physical therapist assistants and aides,31-2020,Summary,140.8,174.7,33.9,24.1,—,25.5,"$49,180",—,—,—
Physical therapist assistants,31-2021,Line item,96.5,122.1,25.6,26.5,—,17.9,"$61,180",Associate's degree,None,None
Physical therapist aides,31-2022,Line item,44.2,52.6,8.3,18.8,—,7.6,"$29,200",High school diploma or equivalent,None,Short-term on-the-job training
Other healthcare support occupations,31-9000,Summary,"1,770.4","1,988.1",217.7,12.3,4.1,293.4,"$37,370",—,—,—
Massage therapists,31-9011,Line item,149.9,179.9,29.9,20.0,43.3,25.2,"$46,910",Postsecondary nondegree award,None,None
Miscellaneous healthcare support occupations,31-9090,Summary,"1,620.5","1,808.2",187.7,11.6,0.5,268.2,"$37,310",—,—,—
Dental assistants,31-9091,Line item,358.6,388.7,30.1,8.4,0.6,56.4,"$38,660",Postsecondary nondegree award,None,None
Medical assistants,31-9092,Line item,743.5,861.3,117.8,15.8,0.2,123.0,"$37,190",Postsecondary nondegree award,None,None
Medical equipment preparers,31-9093,Line item,62.6,66.4,3.7,6.0,0.8,9.5,"$38,220",High school diploma or equivalent,None,Moderate-term on-the-job training
Medical transcriptionists,31-9094,Line item,59.6,55.7,-3.9,-6.5,5.4,9.3,"$30,100",Postsecondary nondegree award,None,None
Pharmacy aides,31-9095,Line item,44.6,43.3,-1.3,-2.9,—,7.5,"$29,930",High school diploma or equivalent,None,Short-term on-the-job training
Veterinary assistants and laboratory animal caretakers,31-9096,Line item,103.5,123.5,20.0,19.4,0.2,23.9,"$29,780",High school diploma or equivalent,None,Short-term on-the-job training
Phlebotomists,31-9097,Line item,135.5,149.4,13.9,10.2,—,21.5,"$37,380",Postsecondary nondegree award,None,None
"Healthcare support workers, all other",31-9099,Line item,112.6,120.0,7.4,6.6,0.6,17.2,"$37,740",High school diploma or equivalent,None,None
Protective service occupations,33-0000,Summary,"3,482.2","3,554.8",72.6,2.1,0.5,421.5,"$46,590",—,—,—
Supervisors of protective service workers,33-1000,Summary,353.5,359.0,5.6,1.6,0.3,28.3,"$77,290",—,—,—
First-line supervisors of law enforcement workers,33-1010,Summary,188.2,188.7,0.4,0.2,—,13.6,"$81,430",—,—,—
First-line supervisors of correctional officers,33-1011,Line item,55.9,52.6,-3.3,-5.9,—,4.3,"$62,220",High school diploma or equivalent,Less than 5 years,None
First-line supervisors of police and detectives,33-1012,Line item,132.3,136.1,3.7,2.8,—,9.3,"$99,330",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
First-line supervisors of firefighting and prevention workers,33-1021,Line item,82.8,86.1,3.4,4.1,—,6.5,"$78,230",Postsecondary nondegree award,Less than 5 years,Moderate-term on-the-job training
"Miscellaneous first-line supervisors, protective service workers",33-1090,Summary,82.5,84.2,1.8,2.1,1.4,8.3,"$52,480",—,—,—
First-line supervisors of security workers,33-1091,Line item,57.5,57.9,0.3,0.6,1.6,5.6,"$50,240",High school diploma or equivalent,Less than 5 years,None
"First-line supervisors of protective service workers, all other",33-1099,Line item,24.9,26.3,1.4,5.8,0.9,2.6,"$61,010",High school diploma or equivalent,Less than 5 years,None
Firefighting and prevention workers,33-2000,Summary,344.4,359.4,15.0,4.3,0.2,29.8,"$50,930",—,—,—
Firefighters,33-2011,Line item,326.1,340.0,13.9,4.3,0.1,28.0,"$50,700",Postsecondary nondegree award,None,Long-term on-the-job training
Fire inspectors,33-2020,Summary,18.3,19.4,1.0,5.7,3.0,1.8,"$63,080",—,—,—
Fire inspectors and investigators,33-2021,Line item,15.5,15.9,0.5,3.1,3.5,1.5,"$64,600",Postsecondary nondegree award,5 years or more,Moderate-term on-the-job training
Forest fire inspectors and prevention specialists,33-2022,Line item,2.9,3.4,0.6,19.4,—,0.3,"$42,600",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Law enforcement workers,33-3000,Summary,"1,235.8","1,211.0",-24.8,-2.0,—,102.3,"$61,190",—,—,—
"Bailiffs, correctional officers, and jailers",33-3010,Summary,419.0,376.8,-42.2,-10.1,—,33.3,"$47,920",—,—,—
Bailiffs,33-3011,Line item,16.8,16.2,-0.6,-3.8,—,2.1,"$48,320",High school diploma or equivalent,None,Moderate-term on-the-job training
Correctional officers and jailers,33-3012,Line item,402.2,360.6,-41.6,-10.3,—,31.2,"$47,920",High school diploma or equivalent,None,Moderate-term on-the-job training
Detectives and criminal investigators,33-3021,Line item,112.9,112.0,-0.8,-0.7,—,8.8,"$83,640",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Fish and game wardens,33-3031,Line item,6.9,6.7,-0.2,-3.5,—,0.7,"$60,730",Bachelor's degree,None,Moderate-term on-the-job training
Parking enforcement workers,33-3041,Line item,8.6,5.4,-3.2,-37.1,—,0.4,"$46,590",High school diploma or equivalent,None,Short-term on-the-job training
Police officers,33-3050,Summary,688.4,710.0,21.7,3.1,—,59.0,"$64,610",—,—,—
Police and sheriff's patrol officers,33-3051,Line item,684.9,706.4,21.5,3.1,—,58.7,"$64,610",High school diploma or equivalent,None,Moderate-term on-the-job training
Transit and railroad police,33-3052,Line item,3.5,3.6,0.1,3.2,—,0.3,"$64,930",High school diploma or equivalent,None,Moderate-term on-the-job training
Other protective service workers,33-9000,Summary,"1,548.5","1,625.5",76.9,5.0,1.0,261.1,"$31,550",—,—,—
Animal control workers,33-9011,Line item,11.9,12.5,0.6,4.8,—,1.0,"$39,160",High school diploma or equivalent,None,Moderate-term on-the-job training
Private detectives and investigators,33-9021,Line item,37.0,39.1,2.1,5.6,21.6,3.7,"$59,380",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Security guards and gambling surveillance officers,33-9030,Summary,"1,087.2","1,125.2",38.0,3.5,0.7,155.9,"$31,470",—,—,—
Gambling surveillance officers and gambling investigators,33-9031,Line item,9.5,10.3,0.8,8.5,—,1.4,"$35,450",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Security guards,33-9032,Line item,"1,077.7","1,114.9",37.2,3.4,0.7,154.5,"$31,470",High school diploma or equivalent,None,Short-term on-the-job training
Miscellaneous protective service workers,33-9090,Summary,412.4,448.7,36.3,8.8,—,100.4,"$31,430",—,—,—
Crossing guards and flaggers,33-9091,Line item,85.1,92.9,7.8,9.2,—,20.0,"$31,450",No formal educational credential,None,Short-term on-the-job training
"Lifeguards, ski patrol, and other recreational protective service workers",33-9092,Line item,120.8,140.7,19.9,16.4,—,36.2,"$25,630",No formal educational credential,None,Short-term on-the-job training
Transportation security screeners,33-9093,Line item,51.6,50.9,-0.7,-1.4,—,4.6,"$45,470",High school diploma or equivalent,None,Short-term on-the-job training
School bus monitors,33-9094,Line item,53.5,57.1,3.6,6.7,—,11.6,"$29,100",High school diploma or equivalent,None,Short-term on-the-job training
"Protective service workers, all other",33-9099,Line item,101.3,107.2,5.8,5.8,—,27.9,"$38,210",High school diploma or equivalent,None,Short-term on-the-job training
Food preparation and serving related occupations,35-0000,Summary,"11,761.8","13,081.6","1,319.9",11.2,0.7,"2,430.8","$28,400",—,—,—
Supervisors of food preparation and serving workers,35-1000,Summary,"1,245.8","1,415.1",169.2,13.6,2.0,220.9,"$37,130",—,—,—
Chefs and head cooks,35-1011,Line item,152.8,176.3,23.6,15.4,8.2,24.3,"$50,160",High school diploma or equivalent,5 years or more,None
First-line supervisors of food preparation and serving workers,35-1012,Line item,"1,093.1","1,238.7",145.7,13.3,1.1,196.7,"$36,570",High school diploma or equivalent,Less than 5 years,None
Cooks and food preparation workers,35-2000,Summary,"3,466.1","3,903.1",437.0,12.6,1.2,626.4,"$29,100",—,—,—
Cooks,35-2010,Summary,"2,648.7","3,068.0",419.3,15.8,1.3,480.6,"$29,120",—,—,—
"Cooks, fast food",35-2011,Line item,792.3,723.2,-69.1,-8.7,—,109.4,"$24,180",No formal educational credential,None,Short-term on-the-job training
"Cooks, institution and cafeteria",35-2012,Line item,410.1,436.0,25.9,6.3,—,67.5,"$29,910",No formal educational credential,None,Short-term on-the-job training
"Cooks, private household",35-2013,Line item,41.4,40.7,-0.7,-1.7,82.8,6.2,"$42,920",Postsecondary nondegree award,Less than 5 years,None
"Cooks, restaurant",35-2014,Line item,"1,255.6","1,715.6",459.9,36.6,—,274.0,"$30,010",No formal educational credential,Less than 5 years,Moderate-term on-the-job training
"Cooks, short order",35-2015,Line item,129.8,131.1,1.3,1.0,—,20.1,"$28,560",No formal educational credential,None,Short-term on-the-job training
"Cooks, all other",35-2019,Line item,19.5,21.4,1.9,9.7,—,3.3,"$30,720",No formal educational credential,None,Moderate-term on-the-job training
Food preparation workers,35-2021,Line item,817.4,835.1,17.7,2.2,0.9,145.8,"$28,780",No formal educational credential,None,Short-term on-the-job training
Food and beverage serving workers,35-3000,Summary,"5,861.5","6,411.0",549.4,9.4,0.1,"1,314.8","$26,000",—,—,—
Bartenders,35-3011,Line item,514.0,606.0,92.0,17.9,0.2,105.3,"$26,350",No formal educational credential,None,Short-term on-the-job training
Fast food and counter workers,35-3023,Line item,"3,195.6","3,438.8",243.2,7.6,0.1,741.4,"$25,100",No formal educational credential,None,Short-term on-the-job training
Waiters and waitresses,35-3031,Line item,"1,904.4","2,101.4",197.0,10.3,0.2,425.8,"$26,000",No formal educational credential,None,Short-term on-the-job training
"Food servers, nonrestaurant",35-3041,Line item,247.5,264.8,17.3,7.0,0.2,42.4,"$28,730",No formal educational credential,None,Short-term on-the-job training
Other food preparation and serving related workers,35-9000,Summary,"1,188.3","1,352.5",164.2,13.8,0.7,268.7,"$27,400",—,—,—
Dining room and cafeteria attendants and bartender helpers,35-9011,Line item,355.2,415.1,59.9,16.9,0.1,76.1,"$27,170",No formal educational credential,None,Short-term on-the-job training
Dishwashers,35-9021,Line item,398.2,437.6,39.4,9.9,0.6,74.8,"$28,130",No formal educational credential,None,Short-term on-the-job training
"Hosts and hostesses, restaurant, lounge, and coffee shop",35-9031,Line item,347.7,400.3,52.6,15.1,1.7,95.2,"$24,600",No formal educational credential,None,Short-term on-the-job training
"Food preparation and serving related workers, all other",35-9099,Line item,87.3,99.5,12.3,14.1,—,22.5,"$29,120",No formal educational credential,None,Short-term on-the-job training
Building and grounds cleaning and maintenance occupations,37-0000,Summary,"5,415.0","5,705.8",290.8,5.4,14.8,779.4,"$30,240",—,—,—
Supervisors of building and grounds cleaning and maintenance workers,37-1000,Summary,470.6,491.4,20.8,4.4,40.4,54.7,"$46,640",—,—,—
First-line supervisors of housekeeping and janitorial workers,37-1011,Line item,253.0,266.7,13.7,5.4,35.5,31.1,"$39,630",High school diploma or equivalent,Less than 5 years,None
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",37-1012,Line item,217.6,224.7,7.1,3.3,46.2,23.6,"$48,800",High school diploma or equivalent,Less than 5 years,None
Building cleaning and pest control workers,37-2000,Summary,"3,645.4","3,854.0",208.7,5.7,8.7,545.1,"$29,640",—,—,—
Building cleaning workers,37-2010,Summary,"3,554.8","3,757.3",202.5,5.7,8.9,531.7,"$29,540",—,—,—
"Janitors and cleaners, except maids and housekeeping cleaners",37-2011,Line item,"2,298.4","2,383.9",85.5,3.7,5.6,335.5,"$29,760",No formal educational credential,None,Short-term on-the-job training
Maids and housekeeping cleaners,37-2012,Line item,"1,237.4","1,353.8",116.4,9.4,15.0,193.5,"$28,780",No formal educational credential,None,Short-term on-the-job training
"Building cleaning workers, all other",37-2019,Line item,19.1,19.7,0.6,3.3,7.1,2.8,"$34,350",No formal educational credential,None,Short-term on-the-job training
Pest control workers,37-2021,Line item,90.6,96.7,6.1,6.8,2.0,13.3,"$37,540",High school diploma or equivalent,None,Moderate-term on-the-job training
Grounds maintenance workers,37-3000,Summary,"1,299.0","1,360.3",61.3,4.7,22.6,179.6,"$35,460",—,—,—
Landscaping and groundskeeping workers,37-3011,Line item,"1,191.6","1,248.5",56.9,4.8,22.8,164.5,"$34,430",No formal educational credential,None,Short-term on-the-job training
"Pesticide handlers, sprayers, and applicators, vegetation",37-3012,Line item,27.6,29.2,1.6,5.8,—,3.8,"$38,270",High school diploma or equivalent,None,Moderate-term on-the-job training
Tree trimmers and pruners,37-3013,Line item,63.7,65.9,2.1,3.4,34.2,9.1,"$46,970",High school diploma or equivalent,None,Short-term on-the-job training
"Grounds maintenance workers, all other",37-3019,Line item,16.1,16.8,0.7,4.5,—,2.2,"$36,540",No formal educational credential,None,Short-term on-the-job training
Personal care and service occupations,39-0000,Summary,"3,868.4","4,413.2",544.8,14.1,22.8,762.6,"$29,450",—,—,—
Supervisors of personal care and service workers,39-1000,Summary,280.5,319.2,38.7,13.8,29.0,40.4,"$45,070",—,—,—
First-line supervisors of entertainment and recreation workers,39-1010,Summary,124.0,142.4,18.4,14.9,26.2,18.0,"$47,040",—,—,—
First-line supervisors of gambling services workers,39-1013,Line item,26.4,30.4,4.0,15.0,24.0,3.8,"$49,140",High school diploma or equivalent,Less than 5 years,None
"First-line supervisors of entertainment and recreation workers, except gambling services",39-1014,Line item,97.6,112.0,14.5,14.8,26.8,14.2,"$44,870",High school diploma or equivalent,Less than 5 years,None
First-line supervisors of personal service workers,39-1022,Line item,156.5,176.8,20.3,13.0,31.3,22.3,"$40,390",High school diploma or equivalent,Less than 5 years,None
Animal care and service workers,39-2000,Summary,343.6,444.8,101.2,29.5,19.6,80.9,"$28,730",—,—,—
Animal trainers,39-2011,Line item,52.9,67.2,14.3,27.1,35.6,10.6,"$31,280",High school diploma or equivalent,None,Moderate-term on-the-job training
Animal caretakers,39-2021,Line item,290.7,377.6,86.9,29.9,16.7,70.4,"$28,600",High school diploma or equivalent,None,Short-term on-the-job training
Entertainment attendants and related workers,39-3000,Summary,459.0,542.4,83.4,18.2,1.8,133.3,"$24,960",—,—,—
Gambling services workers,39-3010,Summary,88.1,103.6,15.4,17.5,2.8,17.8,"$25,630",—,—,—
Gambling dealers,39-3011,Line item,68.5,81.6,13.1,19.2,2.7,14.1,"$24,960",High school diploma or equivalent,None,Short-term on-the-job training
Gambling and sports book writers and runners,39-3012,Line item,8.0,8.1,0.1,0.9,3.3,1.4,"$27,530",High school diploma or equivalent,None,Short-term on-the-job training
"Gambling service workers, all other",39-3019,Line item,11.6,13.9,2.2,19.2,2.7,2.4,"$28,990",High school diploma or equivalent,None,Short-term on-the-job training
Motion picture projectionists,39-3021,Line item,2.0,2.8,0.8,40.3,—,0.7,"$29,350",No formal educational credential,None,Short-term on-the-job training
"Ushers, lobby attendants, and ticket takers",39-3031,Line item,63.2,88.8,25.6,40.5,—,24.1,"$24,440",No formal educational credential,None,Short-term on-the-job training
Miscellaneous entertainment attendants and related workers,39-3090,Summary,305.6,347.2,41.6,13.6,1.9,90.6,"$24,800",—,—,—
Amusement and recreation attendants,39-3091,Line item,286.5,324.9,38.4,13.4,1.9,84.8,"$24,500",No formal educational credential,None,Short-term on-the-job training
Costume attendants,39-3092,Line item,3.9,4.6,0.7,18.9,2.0,1.2,"$47,850",High school diploma or equivalent,None,Short-term on-the-job training
"Locker room, coatroom, and dressing room attendants",39-3093,Line item,10.5,12.0,1.4,13.5,2.0,3.1,"$28,570",High school diploma or equivalent,None,Short-term on-the-job training
"Entertainment attendants and related workers, all other",39-3099,Line item,4.7,5.8,1.1,23.2,1.9,1.5,"$24,170",High school diploma or equivalent,None,Short-term on-the-job training
Funeral service workers,39-4000,Summary,67.9,73.5,5.7,8.4,5.0,11.3,"$36,490",—,—,—
Embalmers and crematory operators,39-4010,Summary,6.4,6.7,0.3,5.2,3.2,1.1,"$44,960",—,—,—
Embalmers,39-4011,Line item,4.3,4.4,0.1,3.5,3.2,0.7,"$47,780",Associate's degree,None,Long-term on-the-job training
Crematory operators,39-4012,Line item,2.1,2.3,0.2,8.6,3.2,0.4,"$37,490",High school diploma or equivalent,None,Short-term on-the-job training
Funeral attendants,39-4021,Line item,34.0,36.9,2.9,8.4,3.3,6.0,"$29,230",High school diploma or equivalent,None,Short-term on-the-job training
"Morticians, undertakers, and funeral arrangers",39-4031,Line item,27.4,29.9,2.5,9.0,7.6,4.3,"$48,950",Associate's degree,None,Long-term on-the-job training
Personal appearance workers,39-5000,Summary,878.7,996.3,117.6,13.4,43.5,138.1,"$29,590",—,—,—
"Barbers, hairdressers, hairstylists and cosmetologists",39-5010,Summary,608.9,673.8,65.0,10.7,49.4,93.8,"$29,680",—,—,—
Barbers,39-5011,Line item,50.2,54.4,4.2,8.3,73.4,6.6,"$29,970",Postsecondary nondegree award,None,None
"Hairdressers, hairstylists, and cosmetologists",39-5012,Line item,558.7,619.5,60.8,10.9,47.3,87.2,"$29,670",Postsecondary nondegree award,None,None
